id	number	loc	state	country	loc_type	indicator	epi_week	event	disease	subcategory_new	pdf_id	Year	Month	Day
146	4	BOSTON	MA	US	CITY	reported	188830	DEATHS	TYPHOID FEVER [ENTERIC FEVER]	UNSPECIFIED	4339	1888	07	22
147	7	BOSTON	MA	US	CITY	reported	188830	DEATHS	DIPHTHERIA	UNSPECIFIED	4339	1888	07	22
148	2	BOSTON	MA	US	CITY	reported	188830	DEATHS	WHOOPING COUGH [PERTUSSIS]	UNSPECIFIED	4339	1888	07	22
347	2	BOSTON	MA	US	CITY	reported	188831	DEATHS	TYPHOID FEVER [ENTERIC FEVER]	UNSPECIFIED	4341	1888	07	29
348	5	BOSTON	MA	US	CITY	reported	188831	DEATHS	DIPHTHERIA	UNSPECIFIED	4341	1888	07	29
349	2	BOSTON	MA	US	CITY	reported	188831	DEATHS	WHOOPING COUGH [PERTUSSIS]	UNSPECIFIED	4341	1888	07	29
351	5	BOSTON	MA	US	CITY	reported	188832	DEATHS	TYPHOID FEVER [ENTERIC FEVER]	UNSPECIFIED	4341	1888	08	05
352	8	BOSTON	MA	US	CITY	reported	188832	DEATHS	DIPHTHERIA	UNSPECIFIED	4341	1888	08	05
471	2	BOSTON	MA	US	CITY	reported	188833	DEATHS	TYPHOID FEVER [ENTERIC FEVER]	UNSPECIFIED	4342	1888	08	12
472	1	BOSTON	MA	US	CITY	reported	188833	DEATHS	SCARLET FEVER	UNSPECIFIED	4342	1888	08	12
473	7	BOSTON	MA	US	CITY	reported	188833	DEATHS	DIPHTHERIA	UNSPECIFIED	4342	1888	08	12
474	3	BOSTON	MA	US	CITY	reported	188833	DEATHS	WHOOPING COUGH [PERTUSSIS]	UNSPECIFIED	4342	1888	08	12
727	5	BOSTON	MA	US	CITY	reported	188834	DEATHS	TYPHOID FEVER [ENTERIC FEVER]	UNSPECIFIED	4344	1888	08	19
728	7	BOSTON	MA	US	CITY	reported	188834	DEATHS	DIPHTHERIA	UNSPECIFIED	4344	1888	08	19
729	1	BOSTON	MA	US	CITY	reported	188834	DEATHS	WHOOPING COUGH [PERTUSSIS]	UNSPECIFIED	4344	1888	08	19
731	7	BOSTON	MA	US	CITY	reported	188835	DEATHS	TYPHOID FEVER [ENTERIC FEVER]	UNSPECIFIED	4344	1888	08	26
732	4	BOSTON	MA	US	CITY	reported	188835	DEATHS	DIPHTHERIA	UNSPECIFIED	4344	1888	08	26
843	2	BOSTON	MA	US	CITY	reported	188836	DEATHS	TYPHOID FEVER [ENTERIC FEVER]	UNSPECIFIED	4345	1888	09	02
844	1	BOSTON	MA	US	CITY	reported	188836	DEATHS	SCARLET FEVER	UNSPECIFIED	4345	1888	09	02
845	5	BOSTON	MA	US	CITY	reported	188836	DEATHS	DIPHTHERIA	UNSPECIFIED	4345	1888	09	02
947	3	BOSTON	MA	US	CITY	reported	188837	DEATHS	TYPHOID FEVER [ENTERIC FEVER]	UNSPECIFIED	4346	1888	09	09
948	5	BOSTON	MA	US	CITY	reported	188837	DEATHS	DIPHTHERIA	UNSPECIFIED	4346	1888	09	09
949	4	BOSTON	MA	US	CITY	reported	188837	DEATHS	WHOOPING COUGH [PERTUSSIS]	UNSPECIFIED	4346	1888	09	09
1073	1	BOSTON	MA	US	CITY	reported	188838	DEATHS	TYPHUS FEVER	UNSPECIFIED	4347	1888	09	16
1074	6	BOSTON	MA	US	CITY	reported	188838	DEATHS	TYPHOID FEVER [ENTERIC FEVER]	UNSPECIFIED	4347	1888	09	16
1075	7	BOSTON	MA	US	CITY	reported	188838	DEATHS	DIPHTHERIA	UNSPECIFIED	4347	1888	09	16
1190	6	BOSTON	MA	US	CITY	reported	188839	DEATHS	TYPHOID FEVER [ENTERIC FEVER]	UNSPECIFIED	4348	1888	09	23
1191	11	BOSTON	MA	US	CITY	reported	188839	DEATHS	DIPHTHERIA	UNSPECIFIED	4348	1888	09	23
1308	10	BOSTON	MA	US	CITY	reported	188840	DEATHS	TYPHOID FEVER [ENTERIC FEVER]	UNSPECIFIED	4349	1888	09	30
1309	9	BOSTON	MA	US	CITY	reported	188840	DEATHS	DIPHTHERIA	UNSPECIFIED	4349	1888	09	30
1310	1	BOSTON	MA	US	CITY	reported	188840	DEATHS	MEASLES	UNSPECIFIED	4349	1888	09	30
1410	11	BOSTON	MA	US	CITY	reported	188841	DEATHS	TYPHOID FEVER [ENTERIC FEVER]	UNSPECIFIED	4350	1888	10	07
1411	15	BOSTON	MA	US	CITY	reported	188841	DEATHS	DIPHTHERIA	UNSPECIFIED	4350	1888	10	07
1412	4	BOSTON	MA	US	CITY	reported	188841	DEATHS	WHOOPING COUGH [PERTUSSIS]	UNSPECIFIED	4350	1888	10	07
1526	11	BOSTON	MA	US	CITY	reported	188842	DEATHS	TYPHOID FEVER [ENTERIC FEVER]	UNSPECIFIED	4351	1888	10	14
1527	1	BOSTON	MA	US	CITY	reported	188842	DEATHS	SCARLET FEVER	UNSPECIFIED	4351	1888	10	14
1528	11	BOSTON	MA	US	CITY	reported	188842	DEATHS	DIPHTHERIA	UNSPECIFIED	4351	1888	10	14
1529	1	BOSTON	MA	US	CITY	reported	188842	DEATHS	WHOOPING COUGH [PERTUSSIS]	UNSPECIFIED	4351	1888	10	14
1638	8	BOSTON	MA	US	CITY	reported	188843	DEATHS	TYPHOID FEVER [ENTERIC FEVER]	UNSPECIFIED	4352	1888	10	21
1639	1	BOSTON	MA	US	CITY	reported	188843	DEATHS	SCARLET FEVER	UNSPECIFIED	4352	1888	10	21
1640	13	BOSTON	MA	US	CITY	reported	188843	DEATHS	DIPHTHERIA	UNSPECIFIED	4352	1888	10	21
1641	1	BOSTON	MA	US	CITY	reported	188843	DEATHS	MEASLES	UNSPECIFIED	4352	1888	10	21
1642	1	BOSTON	MA	US	CITY	reported	188843	DEATHS	WHOOPING COUGH [PERTUSSIS]	UNSPECIFIED	4352	1888	10	21
1757	8	BOSTON	MA	US	CITY	reported	188844	DEATHS	TYPHOID FEVER [ENTERIC FEVER]	UNSPECIFIED	4353	1888	10	28
1758	7	BOSTON	MA	US	CITY	reported	188844	DEATHS	DIPHTHERIA	UNSPECIFIED	4353	1888	10	28
6787	6	BOSTON	MA	US	CITY	reported	188942	DEATHS	TYPHOID FEVER [ENTERIC FEVER]	UNSPECIFIED	4403	1889	10	13
6788	10	BOSTON	MA	US	CITY	reported	188942	DEATHS	DIPHTHERIA	UNSPECIFIED	4403	1889	10	13
6789	2	BOSTON	MA	US	CITY	reported	188942	DEATHS	WHOOPING COUGH [PERTUSSIS]	UNSPECIFIED	4403	1889	10	13
6877	6	BOSTON	MA	US	CITY	reported	188943	DEATHS	TYPHOID FEVER [ENTERIC FEVER]	UNSPECIFIED	4404	1889	10	20
6878	11	BOSTON	MA	US	CITY	reported	188943	DEATHS	DIPHTHERIA	UNSPECIFIED	4404	1889	10	20
6879	2	BOSTON	MA	US	CITY	reported	188943	DEATHS	WHOOPING COUGH [PERTUSSIS]	UNSPECIFIED	4404	1889	10	20
6982	3	BOSTON	MA	US	CITY	reported	188944	DEATHS	TYPHOID FEVER [ENTERIC FEVER]	UNSPECIFIED	4405	1889	10	27
