id	number	loc	state	country	loc_type	indicator	epi_week	event	disease	subcategory_new	pdf_id	Year	Month	Day
35444	1	WORCESTER	MA	US	CITY	reported	189423	DEATHS	TYPHOID FEVER [ENTERIC FEVER]	UNSPECIFIED	4645	1894	06	01
35445	2	WORCESTER	MA	US	CITY	reported	189423	DEATHS	DIPHTHERIA	UNSPECIFIED	4645	1894	06	01
35747	5	WORCESTER	MA	US	CITY	reported	189424	DEATHS	TUBERCULOSIS [PHTHISIS PULMONALIS]	UNSPECIFIED	4646	1894	06	08
36051	2	WORCESTER	MA	US	CITY	reported	189425	DEATHS	TUBERCULOSIS [PHTHISIS PULMONALIS]	UNSPECIFIED	4647	1894	06	15
36052	1	WORCESTER	MA	US	CITY	reported	189425	DEATHS	DIPHTHERIA	UNSPECIFIED	4647	1894	06	15
36664	4	WORCESTER	MA	US	CITY	reported	189427	DEATHS	TUBERCULOSIS [PHTHISIS PULMONALIS]	UNSPECIFIED	4649	1894	06	29
36950	3	WORCESTER	MA	US	CITY	reported	189423	DEATHS	TUBERCULOSIS [PHTHISIS PULMONALIS]	UNSPECIFIED	4650	1894	06	06
36951	2	WORCESTER	MA	US	CITY	reported	189423	DEATHS	DIPHTHERIA	UNSPECIFIED	4650	1894	06	06
37581	1	WORCESTER	MA	US	CITY	reported	189429	DEATHS	TUBERCULOSIS [PHTHISIS PULMONALIS]	UNSPECIFIED	4652	1894	07	13
37954	7	WORCESTER	MA	US	CITY	reported	189430	DEATHS	TUBERCULOSIS [PHTHISIS PULMONALIS]	UNSPECIFIED	4653	1894	07	20
38242	2	WORCESTER	MA	US	CITY	reported	189431	DEATHS	TUBERCULOSIS [PHTHISIS PULMONALIS]	UNSPECIFIED	4654	1894	07	27
38243	1	WORCESTER	MA	US	CITY	reported	189431	DEATHS	TYPHOID FEVER [ENTERIC FEVER]	UNSPECIFIED	4654	1894	07	27
38244	1	WORCESTER	MA	US	CITY	reported	189431	DEATHS	SCARLET FEVER	UNSPECIFIED	4654	1894	07	27
38245	2	WORCESTER	MA	US	CITY	reported	189431	DEATHS	DIPHTHERIA	UNSPECIFIED	4654	1894	07	27
38621	3	WORCESTER	MA	US	CITY	reported	189433	DEATHS	TUBERCULOSIS [PHTHISIS PULMONALIS]	UNSPECIFIED	4655	1894	08	10
38622	1	WORCESTER	MA	US	CITY	reported	189433	DEATHS	TYPHOID FEVER [ENTERIC FEVER]	UNSPECIFIED	4655	1894	08	10
